Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Project 2 Step 2 Initial Cost Estimate,US East (N. Virginia),,S3 Standard,0,27.55,330.60,USD,S3 Standard storage (1 TB per month)
Project 2 Step 2 Initial Cost Estimate,US East (N. Virginia),,Data Transfer,0,45,540.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (500 GB per month)"
Project 2 Step 2 Initial Cost Estimate,US East (N. Virginia),,Amazon Aurora MySQL-Compatible,0,5814.2080000000005,69770.50,USD,"Change records per statement (0.38), Nodes (2), Instance Type (db.r6g.8xlarge), Instance Family (Memory optimized), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Storage amount (500 GB), Additional backup storage (10 TB)"
Project 2 Step 2 Initial Cost Estimate,US East (N. Virginia),web servers,Amazon EC2,0,1086.22,13034.64,USD,"Operating system (Linux), Quantity (12), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (200 GB), Instance type (m6g.xlarge)"
Project 2 Step 2 Initial Cost Estimate,US East (N. Virginia),,Application Load Balancer,0,49.230000000000004,590.76,USD,Number of Application Load Balancers (2)
Project 2 Step 2 Initial Cost Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,74.7,896.40,USD,Number of NAT Gateways (2)
Project 2 Step 2 Initial Cost Estimate,US East (N. Virginia),,Amazon CloudFront,0,99.04,1188.48,USD,"Data transfer out to internet (1 TB per month), Data transfer out to origin (100 GB per month), Number of requests (HTTPS) (10000000 per month)"
Project 2 Step 2 Initial Cost Estimate,US East (N. Virginia),app servers,Amazon EC2,0,1208.29,14499.48,USD,"Operating system (Linux), Quantity (4), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (200 GB), Instance type (m6g.4xlarge)"
Project 2 Step 2 Initial Cost Estimate,US East (N. Virginia),,Amazon Elastic IP,0,7.3,87.60,USD,"Number of EC2 instances (2), Number of EIPs per instance (2)"

Total:,$8,411.54 / month
Link:,https://calculator.aws/#/estimate?id=2d9cbdd29630fc08771e84b5cf4a80234d98a5a6
Notes:,Per review added storage to all EC2 instances; added Elastic IP; added DB backup (pricing calculator does not show subnets)

Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
